Epoch 0/10 | Ep 15/100 | Scen: building_collapse | Cov: 99.4% | Vic: 7/7 | Col: 0 | Steps: 182
Epoch 0/10 | Ep 16/100 | Scen: building_collapse | Cov: 91.7% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 17/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 22 | Steps: 500
Epoch 0/10 | Ep 18/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 8 | Steps: 500
Epoch 0/10 | Ep 19/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 20/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 21/100 | Scen: building_collapse | Cov: 99.6% | Vic: 5/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 22/100 | Scen: building_collapse | Cov: 97.2% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 23/100 | Scen: building_collapse | Cov: 95.2% | Vic: 5/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 24/100 | Scen: building_collapse | Cov: 92.1% | Vic: 4/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 25/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 26/100 | Scen: building_collapse | Cov: 99.2% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 27/100 | Scen: building_collapse | Cov: 98.5% | Vic: 3/7 | Col: 46 | Steps: 500
Epoch 0/10 | Ep 28/100 | Scen: building_collapse | Cov: 95.2% | Vic: 6/7 | Col: 6 | Steps: 500
Epoch 0/10 | Ep 29/100 | Scen: building_collapse | Cov: 96.4% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 30/100 | Scen: building_collapse | Cov: 98.2% | Vic: 4/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 31/100 | Scen: building_collapse | Cov: 98.0% | Vic: 4/7 | Col: 6 | Steps: 500
Epoch 0/10 | Ep 32/100 | Scen: building_collapse | Cov: 99.0% | Vic: 6/7 | Col: 54 | Steps: 500
Epoch 0/10 | Ep 33/100 | Scen: building_collapse | Cov: 99.9% | Vic: 4/7 | Col: 18 | Steps: 500
Epoch 0/10 | Ep 34/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 22 | Steps: 500
Epoch 0/10 | Ep 35/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 36/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 118 | Steps: 500
Epoch 0/10 | Ep 37/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 60 | Steps: 500
Epoch 0/10 | Ep 38/100 | Scen: building_collapse | Cov: 99.7% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 39/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 40/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 10 | Steps: 500
Epoch 0/10 | Ep 41/100 | Scen: building_collapse | Cov: 96.9% | Vic: 5/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 42/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 43/100 | Scen: building_collapse | Cov: 96.2% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 44/100 | Scen: building_collapse | Cov: 87.0% | Vic: 7/7 | Col: 10 | Steps: 181
Epoch 0/10 | Ep 45/100 | Scen: building_collapse | Cov: 88.4% | Vic: 4/7 | Col: 8 | Steps: 500
Epoch 0/10 | Ep 46/100 | Scen: building_collapse | Cov: 89.5% | Vic: 4/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 47/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 48/100 | Scen: building_collapse | Cov: 93.8% | Vic: 5/7 | Col: 4 | Steps: 500
Epoch 0/10 | Ep 49/100 | Scen: building_collapse | Cov: 100.0% | Vic: 4/7 | Col: 2 | Steps: 500
Epoch 0/10 | Ep 50/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 51/100 | Scen: building_collapse | Cov: 97.9% | Vic: 5/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 52/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 14 | Steps: 500
Epoch 0/10 | Ep 53/100 | Scen: building_collapse | Cov: 97.7% | Vic: 5/7 | Col: 16 | Steps: 500
Epoch 0/10 | Ep 54/100 | Scen: building_collapse | Cov: 99.4% | Vic: 5/7 | Col: 6 | Steps: 500
Epoch 0/10 | Ep 55/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 56/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 8 | Steps: 500
Epoch 0/10 | Ep 57/100 | Scen: building_collapse | Cov: 93.7% | Vic: 4/7 | Col: 0 | Steps: 500
Epoch 0/10 | Ep 58/100 | Scen: building_collapse | Cov: 95.6% | Vic: 6/7 | Col: 10 | Steps: 500
Epoch 0/10 | Ep 59/100 | Scen: building_collapse | Cov: 100.0% | Vic: 5/7 | Col: 20 | Steps: 500
Epoch 0/10 | Ep 60/100 | Scen: building_collapse | Cov: 100.0% | Vic: 6/7 | Col: 4 | Steps: 500
